Category,Field
SUMMARY OF RESULTS,End-Use
SUMMARY OF RESULTS,Average Net Electricity Production
SUMMARY OF RESULTS,Electricity breakeven price
SUMMARY OF RESULTS,Average Direct-Use Heat Production
SUMMARY OF RESULTS,Direct-Use heat breakeven price
SUMMARY OF RESULTS,Annual District Heating Demand
SUMMARY OF RESULTS,Average Cooling Production
SUMMARY OF RESULTS,Average Annual Geothermal Heat Production
SUMMARY OF RESULTS,Average Annual Peaking Fuel Heat Production
SUMMARY OF RESULTS,Direct-Use Cooling Breakeven Price
SUMMARY OF RESULTS,Number of production wells
SUMMARY OF RESULTS,Number of injection wells
SUMMARY OF RESULTS,Flowrate per production well
SUMMARY OF RESULTS,Well depth
SUMMARY OF RESULTS,Geothermal gradient
SUMMARY OF RESULTS,Segment 1 Geothermal gradient
SUMMARY OF RESULTS,Segment 1 Thickness
SUMMARY OF RESULTS,Segment 2 Geothermal gradient
SUMMARY OF RESULTS,Segment 2 Thickness
SUMMARY OF RESULTS,Segment 3 Geothermal gradient
SUMMARY OF RESULTS,Segment 3 Thickness
SUMMARY OF RESULTS,Segment 4 Geothermal gradient
SUMMARY OF RESULTS,LCOE
SUMMARY OF RESULTS,LCOH
SUMMARY OF RESULTS,Lifetime Average Well Flow Rate
ECONOMIC PARAMETERS,Economic Model
ECONOMIC PARAMETERS,Interest Rate
ECONOMIC PARAMETERS,Accrued financing during construction
ECONOMIC PARAMETERS,Project lifetime
ECONOMIC PARAMETERS,Capacity factor
ECONOMIC PARAMETERS,Project NPV
ECONOMIC PARAMETERS,Project IRR
ECONOMIC PARAMETERS,Project VIR=PI=PIR
ECONOMIC PARAMETERS,Project MOIC
ECONOMIC PARAMETERS,Fixed Charge Rate (FCR)
ENGINEERING PARAMETERS,Number of Production Wells
ENGINEERING PARAMETERS,Number of Injection Wells
ENGINEERING PARAMETERS,"Well depth (or total length, if not vertical)"
ENGINEERING PARAMETERS,Water loss rate
ENGINEERING PARAMETERS,Pump efficiency
ENGINEERING PARAMETERS,Injection temperature
ENGINEERING PARAMETERS,Injection Temperature
ENGINEERING PARAMETERS,Average production well temperature drop
ENGINEERING PARAMETERS,Flowrate per production well
ENGINEERING PARAMETERS,Injection well casing ID
ENGINEERING PARAMETERS,Production well casing ID
ENGINEERING PARAMETERS,Number of times redrilling
ENGINEERING PARAMETERS,Fluid
ENGINEERING PARAMETERS,Design
ENGINEERING PARAMETERS,Flow rate
ENGINEERING PARAMETERS,Lateral Length
ENGINEERING PARAMETERS,Vertical Depth
ENGINEERING PARAMETERS,Wellbore Diameter
ENGINEERING PARAMETERS,Lifetime Average Well Flow Rate
ENGINEERING PARAMETERS,Injection well casing ID
ENGINEERING PARAMETERS,Production well casing ID
RESOURCE CHARACTERISTICS,Maximum reservoir temperature
RESOURCE CHARACTERISTICS,Number of segments
RESOURCE CHARACTERISTICS,Geothermal gradient
RESOURCE CHARACTERISTICS,Segment 1 Geothermal gradient
RESOURCE CHARACTERISTICS,Segment 1 Thickness
RESOURCE CHARACTERISTICS,Segment 2 Geothermal gradient
RESOURCE CHARACTERISTICS,Segment 2 Thickness
RESOURCE CHARACTERISTICS,Segment 3 Geothermal gradient
RESOURCE CHARACTERISTICS,Segment 3 Thickness
RESOURCE CHARACTERISTICS,Segment 4 Geothermal gradient
RESERVOIR PARAMETERS,Reservoir Model
RESERVOIR PARAMETERS,Fracture model
RESERVOIR PARAMETERS,Bottom-hole temperature
RESERVOIR PARAMETERS,Well separation: fracture height
RESERVOIR PARAMETERS,Fracture area
RESERVOIR PARAMETERS,Fracture width
RESERVOIR PARAMETERS,Reservoir volume
RESERVOIR PARAMETERS,Reservoir hydrostatic pressure
RESERVOIR PARAMETERS,Plant outlet pressure
RESERVOIR PARAMETERS,Production wellhead pressure
RESERVOIR PARAMETERS,Productivity Index
RESERVOIR PARAMETERS,Injectivity Index
RESERVOIR PARAMETERS,Reservoir density
RESERVOIR PARAMETERS,Reservoir thermal conductivity
RESERVOIR PARAMETERS,Reservoir heat capacity
RESERVOIR PARAMETERS,Reservoir porosity
RESERVOIR PARAMETERS,Thermal Conductivity
RESERVOIR SIMULATION RESULTS,Maximum Production Temperature
RESERVOIR SIMULATION RESULTS,Average Production Temperature
RESERVOIR SIMULATION RESULTS,Minimum Production Temperature
