Year,Heat Stored (J),Heat Supplied (J),Efficiency (%)
1.0,-1.19562e+13,2.33107e+12,19.4968
2.0,-1.20272e+13,4.0828e+12,33.9464
3.0,-1.20622e+13,5.28909e+12,43.8485
4.0,-1.20884e+13,6.11179e+12,50.5593
5.0,-1.21077e+13,6.68492e+12,55.2122
6.0,-1.21211e+13,7.09812e+12,58.5602
7.0,-1.21308e+13,7.40565e+12,61.0481
8.0,-1.2138e+13,7.64454e+12,62.9803
9.0,-1.21442e+13,7.81911e+12,64.3855
10.0,-1.21467e+13,7.98436e+12,65.7329
11.0,-1.21517e+13,8.09197e+12,66.5912
12.0,-1.21535e+13,8.19389e+12,67.4198
13.0,-1.2155e+13,8.28318e+12,68.1461
14.0,-1.21568e+13,8.35005e+12,68.6863
15.0,-1.21569e+13,8.42795e+12,69.3264
16.0,-1.21586e+13,8.47507e+12,69.7043
17.0,-1.21592e+13,8.52242e+12,70.09
18.0,-1.21597e+13,8.55869e+12,70.3857
19.0,-1.21583e+13,8.63197e+12,70.9967
20.0,-1.21596e+13,8.65294e+12,71.1614
21.0,-1.21588e+13,8.70189e+12,71.5685
22.0,-1.21589e+13,8.74071e+12,71.8875
23.0,-1.21594e+13,8.76746e+12,72.1046
24.0,-1.21603e+13,8.77475e+12,72.1591
25.0,-1.21599e+13,8.79597e+12,72.3358
26.0,-1.21589e+13,8.8384e+12,72.6905
27.0,-1.21591e+13,8.86355e+12,72.8964
28.0,-1.21599e+13,8.86438e+12,72.8984
29.0,-1.21597e+13,8.87703e+12,73.0036
30.0,-1.21591e+13,8.90672e+12,73.2516
